rank;signature;path;startLine;endLine;score
1;org.mockito.exceptions$Reporter.injectMockAnnotationFieldIsNull(String);org/mockito/exceptions/Reporter.java;519;530;1.0
2;org.mockito.exceptions$Reporter.misplacedArgumentMatcher(Location);org/mockito/exceptions/Reporter.java;409;424;0.8026791993139092
3;org.mockito.internal$MockHandler.handle(Invocation);org/mockito/internal/MockHandler.java;58;106;0.5347674875312468
4;org.mockito.internal.util.junit$JUnitFailureHacker.appendWarnings(Failure,String);org/mockito/internal/util/junit/JUnitFailureHacker.java;13;26;0.49811611932621236
5;org.mockito.internal.invocation$InvocationMatcher.hasSimilarMethod(Invocation);org/mockito/internal/invocation/InvocationMatcher.java;70;90;0.3636217458785705
45;org.mockito$Mockito.verify(T);org/mockito/Mockito.java;1085;1114;0.24428623387864395
45;org.mockito$Mockito.verify(T,VerificationMode);org/mockito/Mockito.java;1116;1140;0.24428623387864395
100;org.mockito.internal.invocation$AllInvocationsFinder.find(List<?>);org/mockito/internal/invocation/AllInvocationsFinder.java;18;33;0.1932919433916761
102;org.mockito.internal.stubbing.answers$AnswersValidator.validate(Answer<?>,Invocation);org/mockito/internal/stubbing/answers/AnswersValidator.java;15;31;0.1920434327535822
232;org.mockito.internal.verification$RegisteredInvocations.getAll();org/mockito/internal/verification/RegisteredInvocations.java;29;31;0.11439778947687619
320;org.mockito.internal.stubbing.answers$Returns.answer(InvocationOnMock);org/mockito/internal/stubbing/answers/Returns.java;21;23;0.08688117438891756
484;org.mockito.internal.stubbing.answers$AnswersValidator.validateReturnValue(Returns,Invocation);org/mockito/internal/stubbing/answers/AnswersValidator.java;45;57;0.04875199771335728
525;org.mockito.internal.invocation$InvocationMatcher.getInvocation();org/mockito/internal/invocation/InvocationMatcher.java;44;46;0.02978718659118578
608;org.mockito.internal.invocation$Invocation.isValidReturnType(Class);org/mockito/internal/invocation/Invocation.java;170;176;0.018964811122171507
623;org.mockito$Mockito.never();org/mockito/Mockito.java;1484;1503;0.0
623;org.mockito.internal.stubbing$BaseStubbing.thenReturn(T);org/mockito/internal/stubbing/BaseStubbing.java;14;16;0.0
623;org.mockito.internal.stubbing.answers$Returns.getReturnType();org/mockito/internal/stubbing/answers/Returns.java;29;31;0.0
623;org.mockito.internal.stubbing.answers$Returns.returnsNull();org/mockito/internal/stubbing/answers/Returns.java;33;35;0.0
623;org.mockito.internal.verification$VerificationModeFactory.only();org/mockito/internal/verification/VerificationModeFactory.java;19;21;0.0
623;org.mockito.internal.verification.argumentmatching$ArgumentMatchingTool.safelyMatches(Matcher,Object);org/mockito/internal/verification/argumentmatching/ArgumentMatchingTool.java;39;45;0.0
